*******************************************************************************
Ephemeris / WWW_USER Tue Sep 14 21:55:33 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pioneer 11 (spacecraft) (-24)   {source: pioneer_11}
Center body name: Earth (399)                     {source: pioneer_11}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1973-Apr-07 00:00:00.0000 UT      
Stop  time      : A.D. 2049-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: pioneer_11}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210914.p211208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-SEP-14. PREDICTS-> 2021-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 2000-Oct-07 00:00, , ,   275.77272,   -8.40475,
 2001-Jan-07 00:00, , ,   277.11824,   -8.57580,
 2001-Apr-07 00:00, , ,   278.07969,   -8.25283,
 2001-Jul-07 00:00, , ,   277.08589,   -8.10762,
 2001-Oct-07 00:00, , ,   276.40370,   -8.44823,
 2002-Jan-07 00:00, , ,   277.67699,   -8.61100,
 2002-Apr-07 00:00, , ,   278.60869,   -8.30088,
 2002-Jul-07 00:00, , ,   277.66042,   -8.16170,
 2002-Oct-07 00:00, , ,   276.98492,   -8.48779,
 2003-Jan-07 00:00, , ,   278.19285,   -8.64313,
 2003-Apr-07 00:00, , ,   279.09675,   -8.34483,
 2003-Jul-07 00:00, , ,   278.19060,   -8.21114,
 2003-Oct-07 00:00, , ,   277.52287,   -8.52388,
 2004-Jan-07 00:00, , ,   278.67107,   -8.67254,
 2004-Apr-07 00:00, , ,   279.54840,   -8.38159,
 2004-Jul-07 00:00, , ,   278.66843,   -8.25788,
 2004-Oct-07 00:00, , ,   278.02580,   -8.56058,
 2005-Jan-07 00:00, , ,   279.13229,   -8.69815,
 2005-Apr-07 00:00, , ,   279.96960,   -8.41880,
 2005-Jul-07 00:00, , ,   279.12612,   -8.29934,
 2005-Oct-07 00:00, , ,   278.49130,   -8.59059,
 2006-Jan-07 00:00, , ,   279.54739,   -8.72280,
 2006-Apr-07 00:00, , ,   280.36262,   -8.45295,
 2006-Jul-07 00:00, , ,   279.55311,   -8.33739,
 2006-Oct-07 00:00, , ,   278.92641,   -8.61796,
 2007-Jan-07 00:00, , ,   279.93585,   -8.74531,
 2007-Apr-07 00:00, , ,   280.73039,   -8.48432,
 2007-Jul-07 00:00, , ,   279.95256,   -8.37226,
 2007-Oct-07 00:00, , ,   279.33387,   -8.64291,
 2008-Jan-07 00:00, , ,   280.30021,   -8.76584,
 2008-Apr-07 00:00, , ,   281.07467,   -8.50994,
 2008-Jul-07 00:00, , ,   280.31449,   -8.40554,
 2008-Oct-07 00:00, , ,   279.71832,   -8.66890,
 2009-Jan-07 00:00, , ,   280.65611,   -8.78331,
 2009-Apr-07 00:00, , ,   281.39803,   -8.53650,
 2009-Jul-07 00:00, , ,   280.66557,   -8.43493,
 2009-Oct-07 00:00, , ,   280.07678,   -8.68962,
 2010-Jan-07 00:00, , ,   280.97680,   -8.80047,
 2010-Apr-07 00:00, , ,   281.70153,   -8.56102,
 2010-Jul-07 00:00, , ,   280.99490,   -8.46205,
 2010-Oct-07 00:00, , ,   280.41335,   -8.70868,
 2011-Jan-07 00:00, , ,   281.27822,   -8.81628,
 2011-Apr-07 00:00, , ,   281.98647,   -8.58379,
 2011-Jul-07 00:00, , ,   281.30399,   -8.48731,
 2011-Oct-07 00:00, , ,   280.72980,   -8.72637,
 2012-Jan-07 00:00, , ,   281.56168,   -8.83103,
 2012-Apr-07 00:00, , ,   282.25407,   -8.60241,
 2012-Jul-07 00:00, , ,   281.58389,   -8.51217,
 2012-Oct-07 00:00, , ,   281.02947,   -8.74582,
