,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit
304,6853222032805452672,305.3113489907976,-21.79353374347795,7.427925763827848,1.5819416000000002,10.0392065,0.014626343,99.60946609871063,1973-Nov-25 11:23:12.892,-123.17053,-96.70304,305.300238765212,-21.8022565490204,409,227255.0,304.0,7.0
311,6856151368002002176,307.7264061166751,-21.13154909735608,13.902304657059105,3.8517208,10.890307,0.23105830000000002,91.82477232653622,1973-Dec-02 14:31:36.320,-36.53277,-58.55935,307.723368325691,-21.136418453584284,428,226554.0,311.0,7.0
318,6856308155786333440,309.3615356575005,-20.760387600383748,11.532761830565365,2.9971495,14.099538,0.044183817,70.92431047594171,1973-Dec-07 02:23:31.900,-35.8754,-133.33428999999998,309.3592315256484,-20.768951122431886,440,226435.0,318.0,7.0
332,6833507132186106240,315.75288428585566,-18.939506910582725,14.883434872186033,1.1100998,12.850003,0.28871268,77.82099203626484,1973-Dec-25 11:09:15.054,-15.441262,22.741394,315.7517961202161,-18.937904295252366,489,227493.0,332.0,7.0
339,6833959722954878592,317.2253328456305,-18.404954633169197,9.08872962178226,2.117999,12.593183999999999,0.019259099999999998,79.40803236008179,1973-Dec-29 23:33:13.436,16.753339999999998,-17.947036999999998,317.2265375521979,-18.406245176626843,501,174690.0,339.0,7.0
346,6835363863732207488,319.0167455734821,-17.807236365782103,12.510122885209453,3.153636,14.485154000000001,0.0867861,69.0362000647188,1974-Jan-04 06:31:08.677,147.46686,-78.39978,319.0259646358319,-17.812137619343687,515,229453.0,346.0,7.0
353,6834729690331719808,320.0833853993369,-17.525807214706152,12.51061534549468,3.3240108,23.086551999999998,0.04185013,43.31526052292457,1974-Jan-07 07:22:35.838,157.42987,-170.48125,320.08956049252737,-17.532494240383606,523,230254.0,353.0,7.0
360,6834734672493855872,320.405707981426,-17.398377232075088,10.007501206044001,2.5022297000000004,11.347423,0.02853389,88.12573879272706,1974-Jan-08 10:45:46.859,97.640884,-23.043861,320.41349999897665,-17.400216197109913,526,230570.0,360.0,7.0
367,6835041397583055360,322.54310096718916,-16.66947821012938,9.409848821238516,2.3412752,14.092873,0.020353822,70.95785415722659,1974-Jan-14 22:40:41.129,-86.33816,41.695854,322.5375531940007,-16.666798987544453,543,232520.0,367.0,7.0
374,6839956390653164032,327.83334002406104,-14.912093156175068,11.430186526076227,2.803113,10.490589,0.09664703,95.3235310694916,1974-Jan-31 06:33:41.288,66.87488,-35.51972,327.83911271850786,-14.915159247451534,585,189407.0,374.0,7.0
