,Unnamed: 0,Unnamed: 0.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
112,112,1345,3817423630549029504,170.3603315913426,6.634948919097705,3.128028947564516,0.68791485,20.559038,0.028382396,48.64040779091884,1980-Feb-20 03:42:10.857,-290.50143,-1.2126567,170.3475359830983,6.6348955056590775,1283,22.786967592592593,1345.0,13.0,158.56772939839541,57915.277485469946,1980,2138.5677293983954,2297.1354587967908
122,122,1442,3696633688303809664,186.09461378943783,-0.3054002466620626,13.807726464450676,0.6241226,20.524418,0.07875157,48.72245371260957,1980-Nov-03 13:32:22.065,-210.8703,4.130173,186.08530999695813,-0.3052180196041817,1465,7.89494212962963,1442.0,7.0,158.8351991031072,58012.96812041887,1980,2138.8351991031072,2297.6703982062145
1,1,13,149737064046059648,66.03895039777957,25.68246886185236,13.239234145151089,3.5833912000000003,20.13165,0.070192225,49.67302501624145,1977-Sep-06 00:54:28.361,10.915285,-223.78938,66.03944138607541,25.67240243054616,1,13.146041666666667,13.0,26.0,161.93406155294713,59144.79664159841,1977,2138.9340615529472,2300.8681231058945
143,143,1599,3716342640389351808,200.37554638092067,4.6134444637327725,10.115253220554882,2.698779,20.490492,0.02214913,48.80312324797385,1981-Sep-25 21:09:04.172,-294.86053,43.23725,200.36251532189945,4.61535528972378,1644,7.935960648148147,1599.0,7.0,159.09818178839475,58109.0199163933,1981,2140.098181788395,2299.1963635767897
264,264,5565,4540937942738166656,258.3494287269691,11.918063365376089,8.723346483936016,2.159171,25.685383,0.021647785,38.93264920798501,2014-Feb-04 18:34:19.634,-36.771423,24.139902,258.34813232451586,11.91891443464347,3222,3693.761342592592,5565.0,158.0,126.92043641803112,46356.420197321684,2014,2140.920436418031,2267.840872836062
24,24,235,145919658456448128,67.65959162711054,22.907814801518327,8.371588863060115,2.4070215,19.592802,0.056673583,51.039151907109925,1978-Feb-28 11:00:50.403,89.440285,-43.03547,67.66372545193683,22.90582575272528,260,5.342337962962963,235.0,7.0,166.38763521717834,60771.41988672222,1978,2144.3876352171783,2310.7752704343566
153,153,1691,3723406040525056128,209.78106090563904,8.93181370893414,11.123284002908658,2.8117237,19.885015,0.026145214,50.289123517153904,1982-May-01 22:18:08.221,-65.7636,-76.93361999999998,209.77806605537504,8.9283101803735,1772,47.7665162037037,1691.0,14.0,163.9425426659217,59878.374283301244,1982,2145.942542665922,2309.8850853318436
224,224,2385,4460288666059348224,247.90408937140487,12.421793142791323,4.928677050823638,0.8842368,20.83461,0.017391931,47.997058773986254,1990-Apr-14 16:19:15.818,-85.06442,55.347095,247.90039212810868,12.424198751052554,2506,74.3168287037037,2385.0,10.0,156.47041160319517,57149.25313395101,1990,2146.4704116031953,2302.9408232063906
136,136,1549,3709177672867458176,191.4527137236382,6.448544807604115,12.79021137561134,3.40586,19.481031,0.07069522,51.33198435704459,1981-Jun-01 09:33:15.280,-249.07127000000003,-27.320147,191.4411358943476,6.44727485788955,1573,28.565625,1549.0,7.0,167.34226900396536,61120.09033100831,1981,2148.342269003965,2315.6845380079303
177,177,1909,1165349632429487232,232.31199217813327,8.913523319342305,11.567598933668947,2.9885435,19.577074,0.030616427,51.08015617654869,1984-Nov-09 20:35:31.774,-150.2866,-110.915985,232.30504052747497,8.908392794392293,2099,15.728796296296293,1909.0,7.0,166.52130913554873,60820.24294866782,1984,2150.5213091355486,2317.042618271097
123,123,1449,3696387599561169408,187.15746551463334,-0.5798385030865065,8.397199936109887,2.0561075,18.90945,0.01771703,52.88360961944919,1980-Nov-13 19:06:28.863,16.639651999999998,-78.50745400000002,187.15826237235112,-0.5835981532046365,1474,7.191435185185185,1449.0,7.0,172.40056735940433,62967.58322234884,1980,2152.4005673594042,2324.8011347188085
135,135,1542,3709160729220401920,191.09241145628846,6.295833248924607,8.109900025557186,1.8659086,19.014908,0.028920287000000006,52.590315376584556,1981-May-16 03:03:55.409,-18.748302,23.788914,191.09151859668708,6.2969661600280675,1570,35.234594907407406,1542.0,7.0,171.44442812766565,62618.3629293486,1981,2152.4444281276656,2323.888856255331
124,124,1456,3696387535137998336,187.1643068871859,-0.5807579685999444,7.907798417854861,1.8697929,18.855566,0.021869348,53.03473778966829,1980-Nov-13 19:06:28.863,16.191381,-80.574455,187.16508449349791,-0.5846276325428617,1474,7.191435185185185,1456.0,7.0,172.8932451943186,63147.52887477293,1980,2152.8932451943188,2325.7864903886375
82,82,946,675676768880524160,123.64950722585913,20.558337815618145,11.326069096716811,2.9736328,18.541002,0.03483751,53.93451687485373,1978-Aug-17 09:24:02.728,-75.01294,-54.810936,123.6458435383518,20.5556608089196,665,21.30457175925926,946.0,21.0,175.82652501202315,64218.87999539134,1978,2153.826525012023,2329.653050024046
114,114,1371,3817450087547535232,170.04261904835468,6.642716267975668,10.794078172535356,2.8724413,18.60519,0.05505062,53.7484425101989,1979-Dec-01 10:59:41.285,-301.35175,-18.923954,170.02795158397203,6.641795196750865,1254,27.66869212962963,1371.0,17.0,175.2199225832484,63997.32452430565,1979,2154.2199225832483,2329.4398451664965
221,221,2337,4459181835808722560,249.14594989524915,11.361958664234011,12.915780718987055,3.5114832,19.800293,0.052216005,50.50430322310178,1991-Jan-22 10:09:00.384,-32.65121,37.952385,249.14445660881023,11.363694397164107,2549,295.0219675925926,2337.0,42.0,164.6440285073118,60134.58497201056,1991,2155.6440285073118,2320.2880570146235
240,240,2766,4447840579524536704,253.0704859148512,11.66864782756269,10.855465672807405,2.8692236,20.276672,0.02015493,49.317756981213854,1996-Jan-12 21:09:51.232,-240.01653,27.54886,253.0597667757406,11.669878159800193,2764,322.82355324074075,2766.0,32.0,160.77588775875716,58721.78524500847,1996,2156.775887758757,2317.551775517514
32,32,291,3413590945450754944,73.25536556828659,23.4865147467272,6.457616445964973,1.288496,18.097963,0.015845537,55.2548362262075,1978-Mar-16 20:00:37.541,123.43703,-109.20413,73.26154190829273,23.481050569030145,300,2.8025925925925925,291.0,7.0,180.13076609743644,65790.96100942769,1978,2158.130766097436,2338.2615321948724
61,61,522,869299357782706560,109.32666262650541,22.91106615646355,10.656322888189225,2.6199484,18.069712,0.024004744,55.34122610379669,1978-Jun-28 18:11:24.073,4.305055,20.897884,109.32687837259961,22.912113445471736,559,3.445810185185185,522.0,7.0,180.4123970983772,65893.82391621129,1978,2158.4123970983774,2338.8247941967547
261,261,4742,4540956123337912704,258.22445070327245,12.119704792033556,7.0713203928982304,1.3278332,21.820173,0.014137978,45.829150296917284,2012-Mar-07 23:37:25.392,256.98862,130.27104,258.23511595570426,12.125111154239885,3186,8114.430902777778,4742.0,354.0,149.40302996795035,54567.96266549418,2012,2161.4030299679503,2310.8060599359005
210,210,2189,4456678247830478080,240.84322070027926,10.792707666951538,12.019012119511595,3.1504297,18.623325,0.03749924,53.69610321030776,1987-Sep-22 22:04:11.938,-88.29129,29.406933,240.83892755010925,10.794137574457476,2341,30.64184027777777,2189.0,7.0,175.04929646560328,63935.00504109694,1987,2162.049296465603,2337.0985929312064
128,128,1484,3689920620060024448,192.32717986778675,0.13548509465183026,9.366986963529477,2.3419504,17.979485999999994,0.014248181,55.618941170617205,1981-Jan-09 04:47:58.384,6.269371499999999,-34.951972999999995,192.3274956314629,0.13372470073432746,1516,16.29810185185185,1484.0,7.0,181.31774821621207,66224.49435848929,1981,2162.317748216212,2343.6354964324237
19,19,193,53164002842376832,61.17425004460124,22.081669693212987,0.2951329456098222,1.2072711,17.619442000000006,0.18534274,56.755486399047726,1978-Feb-07 19:04:11.033,93.06683,-58.495647,61.17903324123136,22.078663292617264,213,3.2360300925925927,193.0,7.0,185.02288566089558,67577.75875878551,1978,2163.0228856608956,2348.045771321791
223,223,2371,4459555738480632320,248.86919082424012,12.2111569355853,13.018377123721654,3.4562435,18.754751,0.06294153,53.319822217087534,1991-Apr-01 02:08:28.940,-66.06926,38.847572,248.8660007295101,12.21303265564673,2557,114.855625,2371.0,14.0,173.82262042770535,63486.973885015104,1991,2164.8226204277053,2338.6452408554105
164,164,1792,1177867537951097472,220.4103759989132,10.539809432345075,12.819401047539131,3.453433,17.688128,0.062845565,56.53509671949831,1983-Jun-08 11:48:53.831,-37.082836,-70.51161,220.408477516718,10.536199540176447,1933,52.215324074074076,1792.0,7.0,184.30441530556448,67315.34464620436,1983,2167.3044153055644,2351.6088306111287
46,46,403,3425517863472759040,92.87303039427441,24.1001805763928,10.395480866884924,2.6690245,17.18361,0.03221533,58.19498619238795,1978-May-11 08:41:41.694,94.17938,-101.19156,92.8779935380238,24.094847899108853,441,2.7752314814814816,403.0,7.0,189.7156549871847,69291.74582751935,1978,2167.7156549871847,2357.4313099743695
163,163,1785,1174912909689344256,222.49049504208423,9.955648269648343,13.433613385668323,3.932188,17.639025,0.12263676,56.692476769663784,1983-Apr-12 06:43:01.980,-15.8003645,-4.455894,222.48968387936355,9.955419511944932,1916,20.95672453703704,1785.0,7.0,184.8174742691039,67502.73430204751,1983,2167.817474269104,2352.634948538208
89,89,1093,661265676135239040,129.93033146927635,19.41917493315469,6.954755275274671,1.7666616000000002,17.05353,0.019948209,58.638886804226075,1978-Sep-14 04:02:03.449,-48.461315,-169.88738999999995,129.92775813408144,19.410153774756264,713,12.552199074074075,1093.0,18.0,191.162770981777,69820.29047338423,1978,2169.162770981777,2360.3255419635543
76,76,748,611300328712811392,136.06561052450832,17.479170573818053,10.409231916546716,2.8587742,17.003320000000002,0.02470987,58.81204136522889,1978-Oct-25 18:15:45.574,-136.17238,1.4102685,136.05835830861653,17.479245681355017,760,77.12828703703705,748.0,38.0,191.72725485064618,70026.46256165001,1978,2169.727254850646,2361.4545097012924
23,23,228,145916050683920128,67.41287398556341,22.88256246495492,7.003597831902863,1.4870806,16.981811999999998,0.018911948,58.88653272472415,1978-Feb-27 14:50:39.032,82.77793,-35.54097700000001,67.41728812449976,22.880667239860223,258,5.350717592592591,228.0,7.0,191.9700966826007,70115.15811235309,1978,2169.970096682601,2361.9401933652016
31,31,284,146588956095781248,70.85045725595378,23.287774695965386,11.73248608522791,3.101241,16.776869,0.039161306,59.605878231373644,1978-Mar-09 23:05:13.293,63.901257,-81.46416500000002,70.85390642068167,23.283377547322182,283,2.8423148148148147,284.0,7.0,194.31516303427807,70971.67014663972,1978,2172.315163034278,2366.6303260685563
17,17,179,63678907415301120,58.12004608371125,21.56578256146038,8.762509728194297,2.1407604,16.679752,0.02005177,59.952928498292856,1978-Jan-27 12:00:18.281,37.71093,-106.11073,58.122093438411284,21.560021730084877,190,3.5656597222222213,179.0,7.0,195.44654690443468,71384.89679137572,1978,2173.446546904435,2368.8930938088697
67,67,565,670676361796054272,122.03009314783873,20.809634231334414,10.988644857361255,2.801775,16.628603,0.02850926,60.13734293304668,1978-Aug-11 04:52:02.948,-56.558147,-54.88171,122.02701311846718,20.806645496968077,653,11.363506944444444,565.0,11.0,196.04773796173217,71604.47581314306,1978,2174.0477379617323,2370.0954759234646
9,9,108,150239265980824192,62.90168327405893,25.077999021502727,9.195141170670796,2.767064,16.241684,0.019324958,61.569970359305344,1977-Oct-10 05:10:35.007,28.609125,-57.7133,62.903278377928544,25.074781212296823,34,3.6499189814814814,108.0,7.0,200.71810337133542,73310.28007534656,1977,2177.7181033713355,2378.436206742671
85,85,1018,664006586822225664,125.86282427080091,20.32898515267962,11.887776620379546,1.8646488,16.250538,0.13026969,61.536424692973966,1978-Aug-26 13:48:44.141,-13.480586,18.598707,125.86207306924356,20.330021559981112,682,15.208263888888887,1018.0,19.0,200.6087444990951,73270.3378408495,1978,2178.6087444990953,2379.2174889981907
230,230,2523,4448725480229514240,251.07595822425486,11.676596195084493,8.918103324963685,2.0953922,17.401958,0.016482484,57.46479638933504,1993-Jan-29 07:57:36.851,-48.453182,-120.73487,251.0734368365885,11.670313441290755,2646,218.9302662037037,2523.0,25.0,187.33523622923224,68422.32168036478,1993,2180.335236229232,2367.6704724584642
212,212,2213,4457123309522412544,244.0790419421213,12.118942749336533,10.450802544224263,2.5401926,16.768835,0.02067882,59.63443470937757,1988-Apr-17 19:44:38.772,5.320735,-127.09515,244.0793292742439,12.112079314027882,2385,85.70673611111111,2213.0,12.0,194.40825715257088,71005.67184240499,1988,2182.408257152571,2376.816514305142
10,10,115,65834568680781184,58.98301575466763,24.09967683278871,10.497356142928847,2.873495,15.61828,0.032033216,64.02753527914898,1977-Oct-23 19:15:15.488,356.38605,-43.53766,59.003679208953656,24.097152495972647,63,2.9769907407407405,115.0,7.0,208.72976501002566,76236.45937226177,1977,2185.729765010026,2394.4595300200517
238,238,2709,4448517947406585472,251.53530423701537,11.502966940472676,4.742249784579677,0.813385,16.911966,0.017790413,59.129729852264774,1993-Feb-26 07:33:39.425,-115.41369,103.09747,251.52912437663943,11.508487325416114,2649,227.9485300925926,2709.0,26.0,192.76291931838315,70404.72865184626,1993,2185.762919318383,2378.525838636766
4,4,50,149726790484381568,66.2953919104547,25.749073549790744,3.712664171298952,0.6099725,15.583038,0.025160557000000004,64.17233782129743,1977-Sep-06 03:15:09.775,58.41973,-24.161077,66.29878677821344,25.747669509384902,3,6.6778125,50.0,12.0,209.2018212974296,76408.87321067319,1977,2186.2018212974294,2395.403642594859
3,3,38,149726996642811904,66.28214720475374,25.74931956846871,10.04872544931034,2.3708086,15.562666,0.020692617,64.25634296195553,1977-Sep-06 03:15:09.775,57.11066,-23.990995,66.2854703447299,25.747923586788,3,6.6778125,38.0,12.0,209.475678055975,76508.89665316431,1977,2186.475678055975,2395.95135611195
246,246,2965,4448158608965771776,254.05416688620969,11.644615999741786,9.303958715519263,2.3585777,17.053263,0.013646483,58.63980500224756,1997-Feb-23 08:28:46.606,-49.29382,33.859856,254.0515493033749,11.646414013731592,2804,366.34355324074073,2965.0,33.0,191.16576430732704,69821.38375560813,1997,2188.165764307327,2379.3315286146544
156,156,1720,3673607543995396224,214.13654024063567,7.097141666364862,8.215794690415406,2.0135650000000003,15.686903,0.21150452,63.747445879392615,1982-Sep-26 10:00:04.297,-64.121666,-143.51906,214.13283869564063,7.088856756049639,1819,10.661238425925927,1720.0,7.0,207.8166735668199,75902.9618535453,1982,2189.81667356682,2397.63334713364
219,219,2315,4459959980802483072,246.53272880006242,12.4055751322796,11.21327785377679,2.8083124,16.308885999999998,0.025441382,61.316268082309996,1990-May-30 10:28:34.651,-109.10827,-93.56487,246.52667052725727,12.400379911691873,2513,49.941643518518525,2315.0,7.0,199.89103394833057,73008.20123928826,1990,2189.8910339483305,2389.782067896661
129,129,1491,3689920826218455808,192.3431300459998,0.16857967646349895,14.28727845932474,3.9802551,15.581062,0.18593302,64.1804762513337,1981-Jan-09 04:47:58.384,189.93202,-147.14673,192.354168711521,0.1600276508455604,1516,16.29810185185185,1491.0,7.0,209.22835257934784,76418.56349608101,1981,2190.2283525793478,2399.4567051586955
79,79,865,660950558679219328,131.3706006535534,18.818620996372864,10.168927936792114,2.4082775,15.302572,0.02639634,65.34849067457066,1978-Sep-21 16:09:44.257,-96.44168,6.388516,131.36489354965144,18.818999047895385,724,14.315196759259257,865.0,20.0,213.03607959910033,77809.29771277541,1978,2191.0360795991005,2404.072159198201
39,39,347,3417141367280879104,80.15993653155763,23.952445046143346,9.552484291596473,2.5560713,15.296102,0.04163545,65.37613492007824,1978-Apr-05 15:23:22.385,6.2696314000000015,-41.48995,80.16030770483002,23.949988767787513,350,2.7452199074074075,347.0,7.0,213.12619983945507,77842.21322936258,1978,2191.1261998394552,2404.2523996789105
78,78,845,660949807058832256,131.37280590499245,18.817496389983013,2.5993194002214715,0.5345597,15.283525,0.03072109,65.42992990488294,1978-Sep-21 16:09:44.257,-100.350075,1.5618702,131.3668601145005,18.817588931549217,724,14.315196759259257,845.0,20.0,213.30157148991836,77906.26597097778,1978,2191.3015714899184,2404.603142979837
220,220,2322,4460017017967923712,245.89373955507241,11.990486593509715,12.743114723957865,3.3377075,16.013706,0.060239907,62.44650595286164,1989-Apr-13 15:59:12.374,-92.82367,-7.1321077000000015,245.88849048557518,11.990083281193053,2448,115.46591435185185,2322.0,15.0,203.57560940632894,74353.95557956758,1989,2192.575609406329,2396.151218812658
16,16,172,63679113573574272,58.05691951210024,21.578468147004447,10.8186842857401,2.4009304,15.022688,0.026057975,66.56598378789812,1978-Jan-27 12:00:18.281,-69.03845,27.410702,58.05275792635268,21.580120443401466,190,3.5656597222222213,172.0,7.0,217.00510714854786,79258.94533493562,1978,2195.0051071485477,2412.0102142970954
72,72,673,662762244601381376,128.77683512827477,19.30124359956713,13.297083027050945,3.5794868,14.981939,0.11812305,66.74703313913912,1978-Sep-08 10:42:06.313,115.53926,-154.19451999999995,128.78381869035286,19.291923590179977,704,12.343796296296293,673.0,18.0,217.59532803359352,79474.5176109897,1978,2195.5953280335934,2413.190656067187
7,7,94,150196762984613248,63.364419487013905,25.118764999131518,8.064827379120427,1.9605579,14.889708,0.015357933999999997,67.16048623614054,1977-Oct-08 12:02:30.883,-39.32225800000001,-0.8369093000000001,63.36202800165293,25.118714100316755,31,3.849085648148148,94.0,7.0,218.94318512981815,79966.80893681478,1977,2195.943185129818,2414.8863702596364
253,253,3449,4541108710638106624,256.3507082675739,11.831498916580367,6.771249323666797,1.3346987,16.8695,0.014049743,59.27858247339922,2004-Jan-16 05:04:06.092,86.278824,-5.8153095,256.3553397228302,11.83118675022643,3007,2365.1624652777773,3449.0,150.0,193.24817886328145,70581.96484802492,2004,2197.2481788632813,2390.4963577265626
173,173,1874,1163950813120268288,230.40694015742372,8.449717958896871,4.491604406272408,0.75674534,15.238604,0.024046212,65.62281077580505,1984-Jan-16 00:13:15.793,-85.04051,-29.886202,230.40188661237232,8.447941966916039,2017,22.047743055555557,1874.0,7.0,213.93036312912446,78135.92582928142,1984,2197.9303631291245,2411.860726258249
87,87,1055,663045166984556928,127.86598934246088,19.884402536699625,6.2984833691676485,1.4056482,14.763526999999998,0.09415575,67.73449228328471,1978-Sep-04 04:51:31.801,-10.1230545,7.777886,127.86536842066955,19.884879611959093,697,14.092141203703706,1055.0,19.0,220.81444484350814,80650.26783464292,1978,2198.814444843508,2419.6288896870165
268,268,6546,4541326345220772864,258.9064743746436,12.203255675167945,14.557653122149045,0.9598808,17.998234,0.12612228,55.56100733998583,2018-Feb-25 10:55:56.095,-94.40086,-69.44224,258.9017247255455,12.199761784861725,3292,9413.788090277778,6546.0,363.0,181.1288839283538,66155.51356599193,2018,2199.128883928354,2380.2577678567077
165,165,1799,1174471558849856384,221.69276842643256,9.398871063756767,10.894904668107307,2.6388826,15.083052,0.035922475,66.29958055671929,1983-Aug-24 14:50:43.257,143.81226999999996,-90.00655,221.70140262778665,9.393467250150618,1947,16.509733796296295,1799.0,7.0,216.13663261490487,78941.74369626786,1983,2199.136632614905,2415.27326522981
