,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
10,10,15,15,15,105,3631701479368964096,202.34162148144864,-6.44208061149293,10.772132492807785,2.8005142000000003,22.562597,0.022685582000000003,44.321138556054755,2006-Mar-09 16:47:53.369,-39.934917,-53.173622,202.34001868214108,-6.444214749990593,73,3.419241362311385e-05,105.0,7.0,144.4869116927385,52772.39962665581,2006,2150.4869116927384,2294.973823385477
11,11,1,1,1,11,3618810628952377216,208.7777209694316,-8.624115520009106,10.280616168071047,2.4917364,22.48039,0.020791883,44.4832129510116,2006-Feb-05 11:37:22.710,-143.27544,13.068279,208.77194954073138,-8.623589102893138,23,8.106660986796982e-05,11.0,5.0,145.0152742202978,52965.37875622157,2006,2151.0152742202977,2296.0305484405953
12,12,2,2,2,16,3618810628950468736,208.77833820012225,-8.622553657684328,6.726190049778419,1.3343983,22.477114,0.0174454,44.489697934088056,2006-Feb-05 11:37:22.710,-146.20356999999996,17.057655,208.77244796170726,-8.621866440139407,23,8.106660986796982e-05,16.0,5.0,145.03641526512706,52973.10031143501,2006,2151.0364152651273,2296.0728305302546
13,13,91,91,91,1026,4118548834261525248,267.16721184318317,-21.81884527664657,12.088045588672134,2.9913082,22.62839,0.035482474,44.19227476406577,2008-Jan-26 22:56:27.751,-26.131557,-101.54586,267.1661660950483,-21.822908998992734,874,0.0002890275366512346,1026.0,17.0,144.06681573085442,52618.96377753727,2008,2152.0668157308546,2296.1336314617092
14,14,123,123,123,1892,4090107393373324288,277.7801861163046,-21.569339108460994,13.081954618832205,3.4520855000000004,22.208529,0.102349445,45.0277468477494,2010-Jan-21 23:54:13.994,-14.056634,-322.06555,277.77961295482135,-21.582471382520517,1161,0.001649378429355281,1892.0,33.0,146.79045472366303,53613.74568327069,2010,2156.790454723663,2303.580909447326
15,15,24,24,24,172,3629572408245394560,197.00401709024644,-5.976720510245408,14.998771018811151,4.37669,20.840649,0.25042248,47.983151423941536,2006-Jun-09 11:34:28.365,-44.967945,-10.887734,197.0020631680934,-5.977193598028704,183,5.507651748971193e-05,172.0,7.0,156.4250736420494,57132.69389702212,2006,2162.4250736420495,2318.850147284099
16,16,131,131,131,2233,4079606984261389056,280.31321551925384,-21.35831605015489,9.573371457986571,2.2733774,19.996157,0.015543322,50.00961011546924,2010-Mar-14 18:44:54.364,13.222674,123.15146,280.3138143281149,-21.35273894958661,1180,0.0022725315339934844,2233.0,38.0,163.03132897642973,59545.5625953512,2010,2173.03132897643,2336.06265795286
17,17,75,75,75,796,4114977998449557120,258.98373782807755,-21.948456044523677,5.903208403647435,1.0511751,19.407412,0.019801099,51.52670649144237,2007-Nov-26 16:51:02.481,11.854921,-90.72315,258.98429098265086,-21.95268921698265,812,7.905481074245541e-05,796.0,7.0,167.9770631621021,61351.94254932617,2007,2174.9770631621022,2342.9541263242045
18,18,16,16,16,112,3634671088476944256,200.3097444686417,-5.7257002344318195,8.804528823942126,2.442483,19.195213,0.026538214,52.096321277606314,2006-Mar-16 20:44:28.447,-111.272766,-65.61811999999999,200.3044950478367,-5.728795844681718,90,3.4644257973251026e-05,112.0,7.0,169.83400736499658,62030.17284999135,2006,2175.8340073649965,2345.668014729993
19,19,94,94,94,1070,4117659643007165696,263.2556743461988,-21.832145302512888,5.002019902596309,0.8842106,18.847315,0.06695125,53.05795593568982,2007-Dec-26 10:08:34.211,45.0855,-198.1734,263.25784056759124,-21.84166693300878,844,0.000853379120584705,1070.0,19.0,172.9689363503488,63175.1743126014,2007,2179.968936350349,2352.937872700698
