,date,ra,dec
320,2006-Aug-20 07:56:08.734,213.1305,-12.53259
321,2006-Aug-20 19:01:06.353,213.25344,-12.57656
322,2006-Aug-21 06:05:39.243,213.37642,-12.62047
323,2006-Aug-21 17:09:47.949,213.49945,-12.6643
324,2006-Aug-22 04:13:33.026,213.62252,-12.70807
325,2006-Aug-22 15:16:55.034,213.74564,-12.75176
326,2006-Aug-23 02:19:54.540,213.86881,-12.79538
327,2006-Aug-23 13:22:32.117,213.99203,-12.83893
328,2006-Aug-24 00:24:48.341,214.11529,-12.8824
329,2006-Aug-24 11:26:43.795,214.2386,-12.92581
330,2006-Aug-24 22:28:19.065,214.36195,-12.96914
331,2006-Aug-25 09:29:34.738,214.48536,-13.01241
332,2006-Aug-25 20:30:31.406,214.60881,-13.0556
333,2006-Aug-26 07:31:09.661,214.73231,-13.09871
334,2006-Aug-26 18:31:30.097,214.85585,-13.14176
335,2006-Aug-27 05:31:33.306,214.97944,-13.18473
336,2006-Aug-27 16:31:19.883,215.10308,-13.22763
337,2006-Aug-28 03:30:50.420,215.22677,-13.27045
338,2006-Aug-28 14:30:05.508,215.3505,-13.31321
339,2006-Aug-29 01:29:05.740,215.47429,-13.35589
340,2006-Aug-29 12:27:51.701,215.59812,-13.39849
341,2006-Aug-29 23:26:23.979,215.72199,-13.44102
342,2006-Aug-30 10:24:43.158,215.84592,-13.48348
343,2006-Aug-30 21:22:49.816,215.96989,-13.52586
344,2006-Aug-31 08:20:44.533,216.09391,-13.56817
345,2006-Aug-31 19:18:27.879,216.21798,-13.61041
346,2006-Sep-01 06:16:00.424,216.3421,-13.65257
347,2006-Sep-01 17:13:22.731,216.46627,-13.69465
348,2006-Sep-02 04:10:35.356,216.59048,-13.73666
349,2006-Sep-02 15:07:38.848,216.71474,-13.7786
350,2006-Sep-03 02:04:33.747,216.83905,-13.82046
351,2006-Sep-03 13:01:20.580,216.96341,-13.86224
352,2006-Sep-03 23:57:59.865,217.08782,-13.90395
353,2006-Sep-04 10:54:32.102,217.21227,-13.94559
354,2006-Sep-04 21:50:57.774,217.33677,-13.98715
355,2006-Sep-05 08:47:17.344,217.46133,-14.02863
356,2006-Sep-05 19:43:31.252,217.58593,-14.07003
357,2006-Sep-06 06:39:39.915,217.71058,-14.11136
358,2006-Sep-06 17:35:43.721,217.83528,-14.15262
359,2006-Sep-07 04:31:43.033,217.96002,-14.1938
360,2006-Sep-07 15:27:38.184,218.08482,-14.2349
361,2006-Sep-08 02:23:29.481,218.20966,-14.27592
362,2006-Sep-08 13:19:17.204,218.33456,-14.31687
363,2006-Sep-09 00:15:01.610,218.4595,-14.35774
364,2006-Sep-09 11:10:42.938,218.58449,-14.39854
365,2006-Sep-09 22:06:21.409,218.70954,-14.43926
366,2006-Sep-10 09:01:57.233,218.83463,-14.4799
367,2006-Sep-10 19:57:30.614,218.95977,-14.52046
368,2006-Sep-11 06:53:01.752,219.08496,-14.56095
369,2006-Sep-11 17:48:30.850,219.21019,-14.60136
370,2006-Sep-12 04:43:58.114,219.33548,-14.64169
371,2006-Sep-12 15:39:23.760,219.46082,-14.68195
372,2006-Sep-13 02:34:48.012,219.58621,-14.72212
373,2006-Sep-13 13:30:11.105,219.71164,-14.76222
374,2006-Sep-14 00:25:33.289,219.83713,-14.80225
375,2006-Sep-14 11:20:54.826,219.96266,-14.84219
376,2006-Sep-14 22:16:15.991,220.08825,-14.88205
377,2006-Sep-15 09:11:37.072,220.21388,-14.92184
378,2006-Sep-15 20:06:58.372,220.33956,-14.96154
379,2006-Sep-16 07:02:20.205,220.4653,-15.00117
380,2006-Sep-16 17:57:42.896,220.59108,-15.04072
381,2006-Sep-17 04:53:06.786,220.71691,-15.08019
382,2006-Sep-17 15:48:32.223,220.84279,-15.11958
383,2006-Sep-18 02:43:59.567,220.96872,-15.15889
384,2006-Sep-18 13:39:29.188,221.0947,-15.19812
385,2006-Sep-19 00:35:01.468,221.22073,-15.23727
386,2006-Sep-19 11:30:36.796,221.34681,-15.27634
