date,na1,na2,ra,dec,
 1980-Sep-30 00:00, , ,   181.58267,    1.54174,
 1980-Oct-10 00:00, , ,   182.85162,    1.00912,
 1980-Oct-20 00:00, , ,   184.07234,    0.50285,
 1980-Oct-30 00:00, , ,   185.22906,    0.02997,
 1980-Nov-09 00:00, , ,   186.30699,   -0.40309,
 1980-Nov-19 00:00, , ,   187.47140,   -0.60376,
 1980-Nov-29 00:00, , ,   188.63060,   -0.64059,
 1980-Dec-09 00:00, , ,   189.67491,   -0.61667,
 1980-Dec-19 00:00, , ,   190.59109,   -0.52442,
 1980-Dec-29 00:00, , ,   191.36849,   -0.35937,
 1981-Jan-08 00:00, , ,   191.99775,   -0.11891,
 1981-Jan-18 00:00, , ,   192.47272,    0.19705,
 1981-Jan-28 00:00, , ,   192.79339,    0.58489,
 1981-Feb-07 00:00, , ,   192.96328,    1.03832,
 1981-Feb-17 00:00, , ,   192.99269,    1.54717,
 1981-Feb-27 00:00, , ,   192.89895,    2.09771,
 1981-Mar-09 00:00, , ,   192.70338,    2.67413,
 1981-Mar-19 00:00, , ,   192.43395,    3.25804,
 1981-Mar-29 00:00, , ,   192.12169,    3.83067,
 1981-Apr-08 00:00, , ,   191.79801,    4.37421,
 1981-Apr-18 00:00, , ,   191.49586,    4.87201,
 1981-Apr-28 00:00, , ,   191.24421,    5.31102,
 1981-May-08 00:00, , ,   191.06809,    5.68150,
 1981-May-18 00:00, , ,   190.98896,    5.97703,
 1981-May-28 00:00, , ,   191.02083,    6.19551,
 1981-Jun-07 00:00, , ,   191.17338,    6.33743,
 1981-Jun-17 00:00, , ,   191.45164,    6.40593,
 1981-Jun-27 00:00, , ,   191.85476,    6.40667,
 1981-Jul-07 00:00, , ,   192.37991,    6.34605,
 1981-Jul-17 00:00, , ,   193.02080,    6.23192,
 1981-Jul-27 00:00, , ,   193.76827,    6.07279,
 1981-Aug-06 00:00, , ,   194.61320,    5.87698,
 1981-Aug-16 00:00, , ,   195.54397,    5.65355,
 1981-Aug-26 00:00, , ,   196.54837,    5.41129,
 1981-Sep-05 00:00, , ,   197.61469,    5.15862,
 1981-Sep-15 00:00, , ,   198.72921,    4.90445,
 1981-Sep-25 00:00, , ,   199.87877,    4.65693,
 1981-Oct-05 00:00, , ,   201.05017,    4.42412,
 1981-Oct-15 00:00, , ,   202.22859,    4.21415,
 1981-Oct-25 00:00, , ,   203.40024,    4.03421,
 1981-Nov-04 00:00, , ,   204.55054,    3.89145,
 1981-Nov-14 00:00, , ,   205.66400,    3.79255,
 1981-Nov-24 00:00, , ,   206.72647,    3.74294,
 1981-Dec-04 00:00, , ,   207.72272,    3.74777,
 1981-Dec-14 00:00, , ,   208.63804,    3.81080,
 1981-Dec-24 00:00, , ,   209.45956,    3.93417,
 1982-Jan-03 00:00, , ,   210.17423,    4.11900,
